year,NLW,CPI
1991,,65.65563159
1992,,68.67024228
1993,,70.42722397
1994,,71.99001295
1995,,73.93194008
1996,,76.04031811
1997,,77.71407435
1998,,79.12890697
1999,3.6,80.51599778
2000,3.7,81.4684668
2001,4.1,82.71684853
2002,4.2,83.97447753
2003,4.5,85.13038654
2004,4.85,86.31403736
2005,5.05,88.11725541
2006,5.35,90.28111707
2007,5.52,92.43573146
2008,5.73,95.69077122
2009,5.8,97.56796745
2010,5.93,100
2011,6.08,103.8561124
2012,6.19,106.5285741
2013,6.31,108.9698539
2014,6.5,110.5511374
2015,6.7,110.9580174
2016,7.2,112.0769373
2017,7.5,114.9435916
2018,7.83,117.5790642
2019,8.21,119.6227113
2020,8.72,120.8063621
2021,8.91,123.8487146
2022,9.5,133.6600703
2023,10.42,142.7408914
2024,11.44,147.4107638
2025,12.21,
2026,12.71,
