year,north east,north west,yorkshire and the humber,east midlands,west midlands,east,london,south east,south west
2001,29.6,32.7,30.0,32.7,33.1,32.7,40.8,35.2,32.5
2002,30.3,33.0,30.5,33.3,33.5,33.3,42.7,35.9,32.2
2003,31.6,34.0,31.4,33.2,34.1,33.9,43.8,35.5,32.2
2004,32.4,34.9,32.7,34.6,35.1,35.5,45.6,36.5,33.5
2005,33.5,36.4,33.1,35.3,36.3,37.2,47.7,37.6,34.5
2006,34.9,38.1,34.8,36.3,37.5,38.2,49.0,38.7,35.6
2007,35.9,39.3,35.0,36.2,37.7,38.4,49.4,39.0,35.6
2008,36.1,40.4,36.3,37.3,39.3,38.6,50.3,38.9,36.3
2009,36.9,41.6,37.5,37.3,40.1,38.7,51.6,39.7,36.6
2010,39.2,43.2,38.9,39.7,41.6,40.6,54.9,41.4,38.2
2011,40.0,44.6,41.3,40.3,43.7,42.5,57.2,43.1,39.5
2012,40.5,44.8,42.2,41.0,43.9,42.4,58.4,43.3,40.3
2013,42.8,45.5,42.7,41.9,44.9,43.2,58.5,44.9,41.1
2014,43.9,45.4,42.8,42.0,45.5,43.8,59.0,44.9,41.6
2015,42.8,46.1,43.6,42.9,46.1,44.1,60.1,46.4,42.1
2016,43.7,46.6,44.9,44.2,47.1,45.8,61.7,47.4,43.2
2017,45.4,48.4,46.5,45.9,48.4,48.1,64.0,49.3,44.7
2018,43.4,47.8,45.9,45.9,48.6,48.3,64.4,49.8,44.5
