year,north east,north west,yorkshire and the humber,east midlands,west midlands,east,london,south east,south west,wales,scotland,northern ireland
1992,13.0,10.9,9.9,9.2,12.1,9.2,13.1,8.5,9.4,10.5,10.7,12.4
1993,12.6,10.7,10.2,8.1,11.5,9.1,14.1,7.9,8.5,10.1,9.9,12.2
1994,12.8,9.3,9.1,7.8,9.0,7.2,12.1,6.7,7.3,9.4,8.5,11.5
1995,11.0,8.5,8.1,7.3,8.6,7.1,11.4,6.5,7.3,8.1,9.0,9.4
1996,9.6,7.5,8.5,6.7,7.3,6.5,10.9,5.2,6.2,8.1,9.0,9.1
1997,8.0,6.7,7.0,5.0,6.8,5.1,9.1,4.3,5.1,6.5,7.1,8.5
1998,9.6,7.2,6.9,5.0,6.5,4.5,7.8,4.0,4.6,7.5,7.5,6.8
1999,8.4,6.3,6.3,5.5,6.6,4.2,7.1,3.9,4.3,7.3,7.2,6.4
2000,7.5,5.3,5.8,4.9,5.9,3.4,6.8,3.2,3.8,6.2,6.1,5.9
2001,7.1,5.3,5.2,4.2,5.7,3.8,7.2,3.4,3.8,5.5,6.8,6.1
2002,6.4,4.8,4.8,4.3,5.8,4.2,6.8,3.9,3.8,4.9,5.9,5.6
2003,6.1,4.9,5.0,4.5,5.5,3.3,6.9,3.7,2.8,5.1,5.7,5.6
2004,5.5,4.6,4.5,4.2,4.8,3.9,7.0,3.8,3.6,4.3,5.7,4.6
2005,6.6,5.0,5.2,4.6,5.4,4.7,7.2,4.0,4.0,5.1,5.1,4.0
2006,6.1,5.6,6.0,5.5,6.7,4.7,7.5,4.5,4.1,5.2,4.9,4.1
2007,5.6,5.9,5.1,5.4,5.7,4.4,7.0,4.4,3.6,4.7,5.0,4.2
2008,8.2,7.7,7.2,6.3,8.1,5.7,7.7,4.8,5.2,7.4,5.2,5.7
2009,9.4,8.5,8.6,7.2,9.1,6.6,8.9,6.0,6.1,8.9,7.7,6.3
2010,9.9,7.6,9.1,7.8,9.8,6.2,9.5,6.2,6.3,8.5,8.0,7.9
2011,10.7,9.1,9.7,8.2,9.0,6.8,10.3,6.4,6.3,9.1,8.5,6.4
2012,9.8,8.5,9.0,7.7,8.9,6.6,8.7,6.6,5.8,8.6,7.3,8.3
2013,9.5,8.1,8.7,7.0,8.2,5.8,8.3,5.3,5.9,6.8,6.7,7.4
2014,7.8,6.3,6.1,4.9,6.4,5.1,6.1,4.6,4.5,6.3,5.6,6.0
2015,7.8,5.0,6.1,4.4,5.4,3.5,6.2,3.9,3.8,5.1,6.0,6.1
2016,6.8,4.8,5.2,4.2,5.5,4.4,5.6,3.6,3.5,4.3,4.6,5.8
2017,5.2,4.2,5.0,4.1,4.7,4.2,5.0,3.5,3.6,4.8,4.3,3.3
2018,5.1,3.6,5.2,4.7,5.1,3.2,4.2,3.1,2.9,4.3,3.4,3.5
2019,6.2,4.3,4.5,3.9,4.4,3.5,4.5,3.2,2.9,3.3,3.6,2.4
2020,6.2,5.4,5.3,5.4,6.0,4.2,7.6,3.3,4.4,4.7,4.4,4.2
2021,5.8,4.6,4.2,3.1,5.0,3.2,5.4,3.8,2.9,3.1,3.9,3.2
2022,4.7,3.7,3.2,3.7,4.8,4.0,4.9,3.9,2.6,3.5,3.4,2.2
2023,4.0,4.8,3.7,5.2,4.3,3.9,3.8,4.0,3.4,4.1,4.3,2.2
2024,4.7,3.9,4.0,4.2,4.5,4.3,6.3,4.0,3.5,5.4,3.7,1.5
2025,7.1,4.7,6.0,5.6,6.1,4.3,7.9,4.0,3.9,3.5,3.9,2.2
