year,NLW,unemp
1991,,8.55
1992,,9.772
1993,,10.346
1994,,9.648
1995,,8.694
1996,,8.189
1997,,7.072
1998,,6.198
1999,3.6,6.042
2000,3.7,5.558
2001,4.1,4.696
2002,4.2,5.037
2003,4.5,4.807
2004,4.85,4.594
2005,5.05,4.884
2006,5.35,5.472
2007,5.52,5.399
2008,5.73,5.748
2009,5.8,7.683
2010,5.93,7.973
2011,6.08,8.195
2012,6.19,8.279
2013,6.31,7.752
2014,6.5,6.398
2015,6.7,5.552
2016,7.2,4.909
2017,7.5,4.501
2018,7.83,4.145
2019,8.21,3.657
2020,8.72,4.472
2021,8.91,4.864
2022,9.5,3.768
2023,10.42,4.025
2024,11.44,4.361
2025,12.21,4.746
2026,12.71,
