region,year,median_wage,n
london,1991,7.433253348,630
east,1991,7.212644423,511
east.midlands,1991,7.126864062,463
north.east,1991,7.193546798,250
north.west,1991,7.222353271,748
south.east,1991,7.268375936,886
south.west,1991,7.072985861,520
west.midlands,1991,7.176249868,572
yorkshire.and.the.humber,1991,7.066239384,572
scotland,1991,7.237076498,556
wales,1991,7.149236306,287
london,1992,7.403464585,601
east,1992,7.236368316,470
east.midlands,1992,7.11392394,473
north.east,1992,7.244490416,246
north.west,1992,7.198410196,687
south.east,1992,7.241176447,830
south.west,1992,7.110958973,515
west.midlands,1992,7.205269655,484
yorkshire.and.the.humber,1992,7.111123942,524
scotland,1992,7.170678235,509
wales,1992,7.229376779,257
london,1993,7.409913584,586
east,1993,7.223065227,479
east.midlands,1993,7.056707549,446
north.east,1993,7.274265628,243
north.west,1993,7.178404456,669
south.east,1993,7.218071045,821
south.west,1993,7.108294916,505
west.midlands,1993,7.139327885,476
yorkshire.and.the.humber,1993,7.127409392,502
scotland,1993,7.196858504,506
wales,1993,7.219226474,243
london,1994,7.420422532,587
east,1994,7.199889527,503
east.midlands,1994,7.119317427,465
north.east,1994,7.173875589,247
north.west,1994,7.212362686,648
south.east,1994,7.197278967,871
south.west,1994,7.058607399,514
west.midlands,1994,7.183233719,477
yorkshire.and.the.humber,1994,7.117236235,509
scotland,1994,7.254993686,499
wales,1994,7.236699459,258
london,1995,7.479841462,559
east,1995,7.197997999,529
east.midlands,1995,7.131440664,462
north.east,1995,7.252656368,239
north.west,1995,7.270579921,631
south.east,1995,7.245181712,899
south.west,1995,7.093393548,502
west.midlands,1995,7.170661426,474
yorkshire.and.the.humber,1995,7.131440664,487
scotland,1995,7.258773552,483
wales,1995,7.252241367,233
london,1996,7.490997803,598
east,1996,7.198632131,531
east.midlands,1996,7.157432268,480
north.east,1996,7.087192547,259
north.west,1996,7.257993797,651
south.east,1996,7.283750609,914
south.west,1996,7.091249323,522
west.midlands,1996,7.18655955,501
yorkshire.and.the.humber,1996,7.152302522,528
scotland,1996,7.2401204,508
wales,1996,7.237852801,259
london,1997,7.446961926,651
east,1997,7.264640349,583
east.midlands,1997,7.17177043,588
north.east,1997,7.253967283,280
north.west,1997,7.242817421,753
south.east,1997,7.264640349,1036
south.west,1997,7.136238464,608
west.midlands,1997,7.159279854,599
yorkshire.and.the.humber,1997,7.15719628,566
scotland,1997,7.179064208,569
wales,1997,7.175039595,289
london,1998,7.472138824,620
east,1998,7.246598471,619
east.midlands,1998,7.151085411,595
north.east,1998,7.245828931,271
north.west,1998,7.245828931,781
south.east,1998,7.286650886,1003
south.west,1998,7.160997017,600
west.midlands,1998,7.184723053,593
yorkshire.and.the.humber,1998,7.145816913,564
scotland,1998,7.247597465,532
wales,1998,7.204733731,298
london,1999,7.516008364,600
east,1999,7.288432283,600
east.midlands,1999,7.222339761,574
north.east,1999,7.324530996,255
north.west,1999,7.239171155,755
south.east,1999,7.331751343,978
south.west,1999,7.219022828,595
west.midlands,1999,7.267672005,567
yorkshire.and.the.humber,1999,7.209018141,553
scotland,1999,7.229220832,1924
wales,1999,7.203133484,1519
london,2000,7.564997818,585
east,2000,7.370940769,588
east.midlands,2000,7.247019531,573
north.east,2000,7.35722269,259
north.west,2000,7.312196682,746
south.east,2000,7.408274787,956
south.west,2000,7.264344253,587
west.midlands,2000,7.260061247,578
yorkshire.and.the.humber,2000,7.286986804,553
scotland,2000,7.285767736,1990
wales,2000,7.255911865,1516
london,2001,7.578778134,562
east,2001,7.394931624,578
east.midlands,2001,7.297563578,546
north.east,2001,7.36758532,261
north.west,2001,7.35563452,737
south.east,2001,7.445199614,1007
south.west,2001,7.28152662,575
west.midlands,2001,7.240704588,555
yorkshire.and.the.humber,2001,7.28152662,566
scotland,2001,7.325566642,1952
northern.ireland,2001,7.264968741,1746
